origin_id,destinatio,entry_cost,network_co,exit_cost,total_cost
Capital,Santo Tome,0.0000000,32.3051052,0.0000000,32.3051052
Capital,Sauce,0.0000000,25.5615407,0.0000000,25.5615407
Concepcion,Bella Vista,0.0782144,11.3901954,0.0000000,11.4638089
Concepcion,Beron de Astrada,0.0782144,12.1085689,0.0131334,12.1953158
Concepcion,Capital,0.0782144,13.2490137,0.0000000,13.3226272
Concepcion,Concepcion,0.0782144,0.0000000,0.0000000,13.3226272
Concepcion,Curuzu Cuatia,0.0782144,0.0000000,0.0000000,13.3226272
Concepcion,Empedrado,0.0782144,10.3798234,0.0000000,10.4534369
Concepcion,Esquina,0.0782144,27.9593563,0.0656217,28.0985916
Concepcion,General Alvear,0.0782144,35.1451224,0.0000000,35.2187359
Concepcion,Departamento General Paz,0.0782144,9.5084890,0.0401319,9.6222344
Concepcion,Goya,0.0782144,17.7795042,0.0000000,17.8531177
Concepcion,Itati,0.0782144,15.4600113,0.0332713,15.5668962
Concepcion,Ituzaingo,0.0782144,16.3557404,0.0000000,16.4293540
Concepcion,Lavalle,0.0782144,15.7439644,0.0862448,15.9038228
Concepcion,Mburucuya,0.0782144,4.7990204,0.0404930,4.9131270
Concepcion,Mercedes,0.0782144,19.5393495,0.0000000,19.6129630
Concepcion,Monte Caseros,0.0782144,31.0849792,0.0000000,31.1585928
Concepcion,Departamento Paso de los Libres,0.0782144,31.5692812,0.0000000,31.6428947
Concepcion,Departamento Saladas,0.0782144,31.5692812,0.0000000,31.6428947
Concepcion,San Cosme,0.0782144,12.7230078,0.0802203,12.8768415
Concepcion,Departamento San Luis del Palmar,0.0782144,11.3824358,0.0689451,11.5249944
Concepcion,San Martin,0.0782144,34.4477004,0.0552303,34.5765443
Concepcion,San Miguel,0.0782144,7.1504424,0.0000000,7.2240559
Concepcion,San Roque,0.0782144,10.5732155,0.0845838,10.7314128
Concepcion,Santo Tome,0.0782144,29.3185167,0.0000000,29.3921302
Concepcion,Sauce,0.0782144,25.3793523,0.0000000,25.4529658
Curuzu Cuatia,Bella Vista,0.0782144,25.3793523,0.0000000,25.4529658
Curuzu Cuatia,Beron de Astrada,0.0782144,25.3793523,0.0000000,25.4529658
Curuzu Cuatia,Capital,0.0782144,25.3793523,0.0000000,25.4529658
Curuzu Cuatia,Concepcion,0.0782144,25.3793523,0.0000000,25.4529658
Curuzu Cuatia,Curuzu Cuatia,0.0782144,0.0000000,0.0000000,25.4529658
Curuzu Cuatia,Empedrado,0.0782144,0.0000000,0.0000000,25.4529658
Curuzu Cuatia,Esquina,0.0782144,0.0000000,0.0000000,25.4529658
Curuzu Cuatia,General Alvear,0.0782144,0.0000000,0.0000000,25.4529658
Curuzu Cuatia,Departamento General Paz,0.0782144,0.0000000,0.0000000,25.4529658
Curuzu Cuatia,Goya,0.0782144,0.0000000,0.0000000,25.4529658
Curuzu Cuatia,Itati,0.0782144,0.0000000,0.0000000,25.4529658
Curuzu Cuatia,Ituzaingo,0.0782144,0.0000000,0.0000000,25.4529658
Curuzu Cuatia,Lavalle,0.0782144,0.0000000,0.0000000,25.4529658
Curuzu Cuatia,Mburucuya,0.0782144,0.0000000,0.0000000,25.4529658
Curuzu Cuatia,Mercedes,0.0782144,0.0000000,0.0000000,25.4529658
Curuzu Cuatia,Monte Caseros,0.0782144,0.0000000,0.0000000,25.4529658
Curuzu Cuatia,Departamento Paso de los Libres,0.0782144,0.0000000,0.0000000,25.4529658
Curuzu Cuatia,Departamento Saladas,0.0782144,0.0000000,0.0000000,25.4529658
Curuzu Cuatia,San Cosme,0.0782144,0.0000000,0.0000000,25.4529658
Curuzu Cuatia,Departamento San Luis del Palmar,0.0782144,0.0000000,0.0000000,25.4529658
Curuzu Cuatia,San Martin,0.0782144,0.0000000,0.0000000,25.4529658
Curuzu Cuatia,San Miguel,0.0782144,0.0000000,0.0000000,25.4529658
Curuzu Cuatia,San Roque,0.0782144,0.0000000,0.0000000,25.4529658
Curuzu Cuatia,Santo Tome,0.0782144,0.0000000,0.0000000,25.4529658
Curuzu Cuatia,Sauce,0.0782144,0.0000000,0.0000000,25.4529658
Empedrado,Bella Vista,0.0000000,6.6399330,0.0000000,6.6399330
Empedrado,Beron de Astrada,0.0000000,14.7815246,0.0131334,14.7946579
Empedrado,Capital,0.0000000,5.1844741,0.0000000,5.1844741
Empedrado,Concepcion,0.0000000,10.3798234,0.0736135,10.4534369
Empedrado,Curuzu Cuatia,0.0000000,10.3798234,0.0736135,10.4534369
Empedrado,Empedrado,0.0000000,0.0000000,0.0736135,10.4534369
Empedrado,Esquina,0.0000000,23.2090940,0.0656217,23.2747157
Empedrado,General Alvear,0.0000000,30.3948601,0.0000000,30.3948601
Empedrado,Departamento General Paz,0.0000000,12.1814446,0.0401319,12.2215765
Empedrado,Goya,0.0000000,13.0292419,0.0000000,13.0292419
Empedrado,Itati,0.0000000,9.9479728,0.0332713,9.9812442
Empedrado,Ituzaingo,0.0000000,21.6409914,0.0000000,21.6409914
Empedrado,Lavalle,0.0000000,10.9937021,0.0862448,11.0799469
Empedrado,Mburucuya,0.0000000,6.2802591,0.0404930,6.3207521
Empedrado,Mercedes,0.0000000,14.7890872,0.0000000,14.7890872
Empedrado,Monte Caseros,0.0000000,26.3347169,0.0000000,26.3347169
Empedrado,Departamento Paso de los Libres,0.0000000,26.8190189,0.0000000,26.8190189
Empedrado,Departamento Saladas,0.0000000,26.8190189,0.0000000,26.8190189
Empedrado,San Cosme,0.0000000,7.2109693,0.0802203,7.2911895
Empedrado,Departamento San Luis del Palmar,0.0000000,5.8703974,0.0689451,5.9393424
Empedrado,San Martin,0.0000000,29.6974381,0.0552303,29.7526685
Empedrado,San Miguel,0.0000000,13.2040317,0.0000000,13.2040317
Empedrado,San Roque,0.0000000,5.8229532,0.0845838,5.9075369
Empedrado,Santo Tome,0.0000000,34.6037677,0.0000000,34.6037677
Empedrado,Sauce,0.0000000,20.6290900,0.0000000,20.6290900
Esquina,Bella Vista,0.0697231,19.7125073,0.0000000,19.7781290
Esquina,Beron de Astrada,0.0697231,33.8817299,0.0131334,33.9604850
